ngram,Aon,Ao,Aon,Ao
1657,9.860894627828592e-08,4.1544096721476566e-07,9.860894627828592e-08,4.1544096721476566e-07
1658,5.5608865068279556e-08,2.4344064237474025e-07,5.5608865068279556e-08,2.4344064237474025e-07
1659,8.777605030120737e-08,1.9643221906205456e-07,8.777605030120737e-08,1.9643221906205456e-07
1660,8.777605030120737e-08,2.766070191942812e-07,8.777605030120737e-08,2.766070191942812e-07
1661,8.777605030120737e-08,2.3512383303828495e-07,8.777605030120737e-08,2.3512383303828495e-07
1662,8.777605030120737e-08,3.56923412222646e-07,8.777605030120737e-08,3.56923412222646e-07
1663,8.777605030120737e-08,2.663087497824433e-07,8.777605030120737e-08,2.663087497824433e-07
1664,3.2167185232927816e-08,3.056117309694985e-07,3.2167185232927816e-08,3.056117309694985e-07
1665,3.2167185232927816e-08,3.9379496489086054e-07,3.2167185232927816e-08,3.9379496489086054e-07
1666,0.0,5.292025865141373e-07,0.0,5.292025865141373e-07
1667,0.0,5.463847360585663e-07,0.0,5.463847360585663e-07
1668,0.0,5.463847360585663e-07,0.0,5.463847360585663e-07
1669,0.0,5.444015260179315e-07,0.0,5.444015260179315e-07
1670,3.864916818331819e-08,6.603490265076419e-07,3.864916818331819e-08,6.603490265076419e-07
1671,3.864916818331819e-08,6.992664306640758e-07,3.864916818331819e-08,6.992664306640758e-07
1672,6.324976961228198e-08,6.356837981716776e-07,6.324976961228198e-08,6.356837981716776e-07
1673,8.799263996804387e-08,4.85427546794069e-07,8.799263996804387e-08,4.85427546794069e-07
1674,1.5305368858012765e-07,4.206011214234552e-07,1.5305368858012765e-07,4.206011214234552e-07
1675,1.8737218811436052e-07,4.89238120491921e-07,1.8737218811436052e-07,4.89238120491921e-07
1676,1.8737218811436052e-07,4.982612823921175e-07,1.8737218811436052e-07,4.982612823921175e-07
1677,1.4872301993104235e-07,4.158999798521888e-07,1.4872301993104235e-07,4.158999798521888e-07
1678,1.4872301993104235e-07,3.7751673736303406e-07,1.4872301993104235e-07,3.7751673736303406e-07
1679,1.471941877590715e-07,3.9905967444805614e-07,1.471941877590715e-07,3.9905967444805614e-07
1680,1.5865517509285253e-07,4.943893644947041e-07,1.5865517509285253e-07,4.943893644947041e-07
1681,1.159699739413814e-07,5.066105351098875e-07,1.159699739413814e-07,5.066105351098875e-07
1682,1.0181250737722231e-07,5.186176679217169e-07,1.0181250737722231e-07,5.186176679217169e-07
1683,1.4594696397450336e-07,3.8977813687779417e-07,1.4594696397450336e-07,3.8977813687779417e-07
1684,1.7516854354328514e-07,3.561919389280125e-07,1.7516854354328514e-07,3.561919389280125e-07
1685,1.7516854354328514e-07,3.9717812277168765e-07,1.7516854354328514e-07,3.9717812277168765e-07
1686,1.7972598089142723e-07,4.0629299746797187e-07,1.7972598089142723e-07,4.0629299746797187e-07
1687,1.435221232018843e-07,4.262779254661707e-07,1.435221232018843e-07,4.262779254661707e-07
1688,1.2114627574127163e-07,4.2811780888639207e-07,1.2114627574127163e-07,4.2811780888639207e-07
1689,1.3255641257663748e-07,5.369006998989789e-07,1.3255641257663748e-07,5.369006998989789e-07
1690,1.0919224686339086e-07,5.576709907830133e-07,1.0919224686339086e-07,5.576709907830133e-07
