ngram,Eaton,Eton,Eton,Eton
1547,3.81798125610138e-06,1.081304565429621e-05,1.081304565429621e-05,1.081304565429621e-05
1548,3.81798125610138e-06,1.081304565429621e-05,1.081304565429621e-05,1.081304565429621e-05
1549,2.3133349194332756e-06,6.299106514364082e-06,6.299106514364082e-06,6.299106514364082e-06
1550,2.3133349194332756e-06,6.299106514364082e-06,6.299106514364082e-06,6.299106514364082e-06
1551,1.3396004630651857e-06,5.464476998895407e-06,5.464476998895407e-06,5.464476998895407e-06
1552,0.0,2.5173558242386207e-06,2.5173558242386207e-06,2.5173558242386207e-06
1553,0.0,0.0,0.0,0.0
1554,0.0,0.0,0.0,0.0
1555,0.0,6.009850039845333e-07,6.009850039845333e-07,6.009850039845333e-07
1556,0.0,6.009850039845333e-07,6.009850039845333e-07,6.009850039845333e-07
1557,0.0,6.009850039845333e-07,6.009850039845333e-07,6.009850039845333e-07
1558,0.0,6.009850039845333e-07,6.009850039845333e-07,6.009850039845333e-07
1559,0.0,6.009850039845333e-07,6.009850039845333e-07,6.009850039845333e-07
1560,1.7947609844018838e-06,1.4983654961854751e-06,1.4983654961854751e-06,1.4983654961854751e-06
1561,1.7947609844018838e-06,1.4983654961854751e-06,1.4983654961854751e-06,1.4983654961854751e-06
1562,1.7947609844018838e-06,8.973804922009419e-07,8.973804922009419e-07,8.973804922009419e-07
1563,1.7947609844018838e-06,1.352002202890747e-06,1.352002202890747e-06,1.352002202890747e-06
1564,1.7947609844018838e-06,1.407529569925308e-05,1.407529569925308e-05,1.407529569925308e-05
1565,1.7947609844018838e-06,1.407529569925308e-05,1.407529569925308e-05,1.407529569925308e-05
1566,1.7947609844018838e-06,1.5978966205563794e-05,1.5978966205563794e-05,1.5978966205563794e-05
1567,0.0,1.5081585713362853e-05,1.5081585713362853e-05,1.5081585713362853e-05
1568,0.0,1.5081585713362853e-05,1.5081585713362853e-05,1.5081585713362853e-05
1569,0.0,1.5824291040189564e-05,1.5824291040189564e-05,1.5824291040189564e-05
1570,0.0,1.536966932949976e-05,1.536966932949976e-05,1.536966932949976e-05
1571,0.0,5.098227510253699e-06,5.098227510253699e-06,5.098227510253699e-06
1572,5.7195684348698705e-06,5.6181882947774805e-06,5.6181882947774805e-06,5.6181882947774805e-06
1573,5.7195684348698705e-06,3.7145177884667646e-06,3.7145177884667646e-06,3.7145177884667646e-06
1574,5.7195684348698705e-06,3.7145177884667646e-06,3.7145177884667646e-06,3.7145177884667646e-06
1575,5.7195684348698705e-06,3.7145177884667646e-06,3.7145177884667646e-06,3.7145177884667646e-06
1576,5.7195684348698705e-06,2.971812461640054e-06,2.971812461640054e-06,2.971812461640054e-06
1577,5.7195684348698705e-06,2.971812461640054e-06,2.971812461640054e-06,2.971812461640054e-06
1578,5.7195684348698705e-06,5.199607845237811e-07,5.199607845237811e-07,5.199607845237811e-07
1579,0.0,0.0,0.0,0.0
1580,0.0,0.0,0.0,0.0
1581,0.0,0.0,0.0,0.0
1582,0.0,0.0,0.0,0.0
1583,2.16280178782264e-06,0.0,0.0,0.0
1584,2.16280178782264e-06,0.0,0.0,0.0
1585,2.16280178782264e-06,0.0,0.0,0.0
1586,2.16280178782264e-06,0.0,0.0,0.0
1587,2.16280178782264e-06,0.0,0.0,0.0
1588,2.16280178782264e-06,0.0,0.0,0.0
1589,2.16280178782264e-06,0.0,0.0,0.0
