ngram,Continental,Continental,Contnental,Contnental
1723,6.175176179924944e-09,6.175176179924944e-09,0.0,0.0
1724,6.175176179924944e-09,6.175176179924944e-09,0.0,0.0
1725,1.3528129220016386e-08,1.3528129220016386e-08,0.0,0.0
1726,5.824061436296038e-08,5.824061436296038e-08,0.0,0.0
1727,5.824061436296038e-08,5.824061436296038e-08,0.0,0.0
1728,5.824061436296038e-08,5.824061436296038e-08,0.0,0.0
1729,5.824061436296038e-08,5.824061436296038e-08,0.0,0.0
1730,5.206543818303544e-08,5.206543818303544e-08,0.0,0.0
1731,5.206543818303544e-08,5.206543818303544e-08,0.0,0.0
1732,4.4712485142944e-08,4.4712485142944e-08,0.0,0.0
1733,0.0,0.0,0.0,0.0
1734,0.0,0.0,0.0,0.0
1735,0.0,0.0,0.0,0.0
1736,0.0,0.0,0.0,0.0
1737,0.0,0.0,0.0,0.0
1738,6.590179525898878e-08,6.590179525898878e-08,0.0,0.0
1739,7.882546120591932e-08,7.882546120591932e-08,0.0,0.0
1740,9.380001841918784e-08,9.380001841918784e-08,0.0,0.0
1741,9.380001841918784e-08,9.380001841918784e-08,0.0,0.0
1742,1.2568688033200358e-07,1.2568688033200358e-07,0.0,0.0
1743,2.412635993209733e-07,2.412635993209733e-07,0.0,0.0
1744,2.412635993209733e-07,2.412635993209733e-07,0.0,0.0
1745,1.7536180406198453e-07,1.7536180406198453e-07,0.0,0.0
1746,1.7239409239826792e-07,1.7239409239826792e-07,0.0,0.0
1747,1.782152939508056e-07,1.782152939508056e-07,0.0,0.0
1748,1.782152939508056e-07,1.782152939508056e-07,0.0,0.0
1749,1.4632843203798984e-07,1.4632843203798984e-07,0.0,0.0
1750,6.703775820174737e-08,6.703775820174737e-08,0.0,0.0
1751,7.774517436181278e-08,7.774517436181278e-08,0.0,0.0
1752,4.1302393226162947e-07,4.1302393226162947e-07,0.0,0.0
1753,4.935963196268338e-07,4.935963196268338e-07,0.0,0.0
1754,5.648500730006032e-07,5.648500730006032e-07,0.0,0.0
1755,5.764099963049116e-07,5.764099963049116e-07,0.0,0.0
1756,7.463963425737217e-07,7.463963425737217e-07,0.0,0.0
1757,8.623664667441387e-07,8.623664667441387e-07,0.0,0.0
1758,8.734121438789901e-07,8.734121438789901e-07,0.0,0.0
1759,6.772851820967065e-07,6.772851820967065e-07,0.0,0.0
1760,8.635390104570564e-07,8.635390104570564e-07,0.0,0.0
1761,1.1794979164798342e-06,1.1794979164798342e-06,0.0,0.0
1762,1.2054941395587906e-06,1.2054941395587906e-06,0.0,0.0
1763,1.066733213000199e-06,1.066733213000199e-06,0.0,0.0
1764,9.706906374568852e-07,9.706906374568852e-07,0.0,0.0
1765,1.0167279376511423e-06,1.0167279376511423e-06,0.0,0.0
1766,9.217898175555612e-07,9.217898175555612e-07,0.0,0.0
1767,6.479521498395766e-07,6.479521498395766e-07,0.0,0.0
1768,4.437918812121617e-07,4.437918812121617e-07,0.0,0.0
1769,4.976235246090255e-07,4.976235246090255e-07,0.0,0.0
