ngram,SLB,SB,SL,SL
1652,0.0,7.822777498794104e-08,1.3389917187721168e-07,1.3389917187721168e-07
1653,0.0,7.822777498794104e-08,1.3389917187721168e-07,1.3389917187721168e-07
1654,0.0,7.822777498794104e-08,1.7538235803320796e-07,1.7538235803320796e-07
1655,0.0,7.822777498794104e-08,1.7538235803320796e-07,1.7538235803320796e-07
1656,0.0,4.530733122010133e-08,1.4246191426536825e-07,1.4246191426536825e-07
1657,0.0,7.311176375424111e-08,2.258752138979097e-07,2.258752138979097e-07
1658,0.0,7.311176375424111e-08,2.7994255974915305e-06,2.7994255974915305e-06
1659,0.0,7.311176375424111e-08,2.775921385835188e-06,2.775921385835188e-06
1660,0.0,7.311176375424111e-08,2.775921385835188e-06,2.775921385835188e-06
1661,0.0,2.0748258171871775e-07,2.7344381996791915e-06,2.7344381996791915e-06
1662,0.0,2.0748258171871775e-07,2.7344381996791915e-06,2.7344381996791915e-06
1663,0.0,1.6217525049861641e-07,2.68913086845909e-06,2.68913086845909e-06
1664,0.0,1.3437081796447664e-07,2.605717568826549e-06,2.605717568826549e-06
1665,0.0,1.7846243492515767e-07,2.0853365307565192e-07,2.0853365307565192e-07
1666,0.0,2.583592301367129e-07,2.9621165659981283e-07,2.9621165659981283e-07
1667,0.0,3.8816849366542427e-07,3.2866397248199064e-07,3.2866397248199064e-07
1668,0.0,2.537976757009476e-07,3.724171883894607e-07,3.724171883894607e-07
1669,0.0,2.537976757009476e-07,4.023712806753922e-07,4.023712806753922e-07
1670,0.0,2.537976757009476e-07,5.956171256522274e-07,5.956171256522274e-07
1671,0.0,2.537976757009476e-07,6.738375109957165e-07,6.738375109957165e-07
1672,0.0,2.343066601692304e-07,5.958734488688476e-07,5.958734488688476e-07
1673,0.0,1.5440986495767512e-07,5.502568732091666e-07,5.502568732091666e-07
1674,0.0,2.4600601428963794e-08,5.178045573269888e-07,5.178045573269888e-07
1675,0.0,2.4600601428963794e-08,5.083698409537516e-07,5.083698409537516e-07
1676,0.0,2.4600601428963794e-08,4.7841574866782e-07,4.7841574866782e-07
1677,0.0,2.4600601428963794e-08,2.8516990369098494e-07,2.8516990369098494e-07
1678,0.0,2.4600601428963794e-08,2.069495183474958e-07,2.069495183474958e-07
1679,0.0,0.0,1.3161888188863357e-07,1.3161888188863357e-07
1680,0.0,1.8101928844771464e-08,9.359412648076873e-08,9.359412648076873e-08
1681,0.0,1.8101928844771464e-08,3.397284526077523e-07,3.397284526077523e-07
