ngram,AT,AT,A,AT
1537,2.028343595026984e-05,2.028343595026984e-05,0.000695008464390412,2.028343595026984e-05
1538,2.028343595026984e-05,2.028343595026984e-05,0.0006513455009553581,2.028343595026984e-05
1539,2.0847243669257815e-05,2.0847243669257815e-05,0.0008138871177964445,2.0847243669257815e-05
1540,1.28655056934284e-05,1.28655056934284e-05,0.0007340697380381503,1.28655056934284e-05
1541,1.1461035001048003e-05,1.1461035001048003e-05,0.0007872709039864796,1.1461035001048003e-05
1542,1.2587779922666544e-05,1.2587779922666544e-05,0.0009267262898252479,1.2587779922666544e-05
1543,1.2140515536884777e-05,1.2140515536884777e-05,0.0008287883870902338,1.2140515536884777e-05
1544,1.422708945548428e-05,1.422708945548428e-05,0.0009235188439821026,1.422708945548428e-05
1545,1.5030849746316172e-05,1.5030849746316172e-05,0.0008973830803630076,1.5030849746316172e-05
1546,8.137276446567349e-06,8.137276446567349e-06,0.0005473824400853898,8.137276446567349e-06
1547,8.137276446567349e-06,8.137276446567349e-06,0.0005965395581110247,8.137276446567349e-06
1548,1.4676598961419326e-05,1.4676598961419326e-05,0.0005976221125040736,1.4676598961419326e-05
1549,1.7730595118337078e-05,1.7730595118337078e-05,0.00043060352826224905,1.7730595118337078e-05
1550,2.5835780629027534e-05,2.5835780629027534e-05,0.0005427505031028497,2.5835780629027534e-05
1551,2.3749206710428033e-05,2.3749206710428033e-05,0.0004669096233556047,2.3749206710428033e-05
1552,2.3666557418826934e-05,2.3666557418826934e-05,0.0005003403660209317,2.3666557418826934e-05
1553,2.142890785502719e-05,2.142890785502719e-05,0.0004718103342124128,2.142890785502719e-05
1554,3.068551002018337e-05,3.068551002018337e-05,0.00063555507014306,3.068551002018337e-05
1555,2.4747172509315923e-05,2.4747172509315923e-05,0.001199809233574862,2.4747172509315923e-05
1556,1.9724759957690757e-05,1.9724759957690757e-05,0.0013694123543765663,1.9724759957690757e-05
1557,1.16195744470003e-05,1.16195744470003e-05,0.0012770464672939852,1.16195744470003e-05
1558,1.5029817859613104e-05,1.5029817859613104e-05,0.001454586907389707,1.5029817859613104e-05
1559,1.4308706860382309e-05,1.4308706860382309e-05,0.0017646447106796717,1.4308706860382309e-05
1560,1.5654777598683722e-05,1.5654777598683722e-05,0.0018467550232474292,1.5654777598683722e-05
1561,6.398175433527545e-06,6.398175433527545e-06,0.0017870183302355663,6.398175433527545e-06
1562,9.352619599667378e-06,9.352619599667378e-06,0.0011602114079453582,9.352619599667378e-06
1563,8.311743321038584e-06,8.311743321038584e-06,0.0009193618991827991,8.311743321038584e-06
1564,2.1035036817400915e-05,2.1035036817400915e-05,0.0011338592999631406,2.1035036817400915e-05
1565,1.863659404729593e-05,1.863659404729593e-05,0.000992066518977351,1.863659404729593e-05
1566,1.863659404729593e-05,1.863659404729593e-05,0.0008072739926449556,1.863659404729593e-05
1567,1.7972920626821826e-05,1.7972920626821826e-05,0.0008684671161712945,1.7972920626821826e-05
1568,1.7972920626821826e-05,1.7972920626821826e-05,0.000800593316463554,1.7972920626821826e-05
1569,1.4417491456697462e-05,1.4417491456697462e-05,0.000851058639195149,1.4417491456697462e-05
1570,1.4417491456697462e-05,1.4417491456697462e-05,0.0008561670838389546,1.4417491456697462e-05
1571,1.6941979603351292e-06,1.6941979603351292e-06,0.0007037509141290295,1.6941979603351292e-06
1572,6.823973178273133e-07,6.823973178273133e-07,0.0006990299152676016,6.823973178273133e-07
1573,3.1992160204806297e-06,3.1992160204806297e-06,0.0007112988761426615,3.1992160204806297e-06
1574,4.150953308063825e-06,4.150953308063825e-06,0.0007292300620715,4.150953308063825e-06
1575,4.150953308063825e-06,4.150953308063825e-06,0.0008300160864434604,4.150953308063825e-06
1576,5.502994619226749e-06,5.502994619226749e-06,0.0009387654510127115,5.502994619226749e-06
